dataset,pipeline,signal,iteration,f1,recall,precision,tn,fp,fn,tp,status,elapsed,split,run_id
YAHOOA4,U_aer,A4Benchmark-TS73,0,1.0,1.0,1.0,,0,0,5,OK,21.741112,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS74,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,22.050661,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS75,0,0.761904761904762,0.6153846153846154,1.0,,0,5,8,OK,21.885444,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS76,0,0.5333333333333333,0.36363636363636365,1.0,,0,7,4,OK,18.000436,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS77,0,0.5,0.3333333333333333,1.0,,0,8,4,OK,18.927443,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS78,0,0.7000000000000001,0.5384615384615384,1.0,,0,6,7,OK,21.379781,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS79,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,18.185296,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS7,0,0.6363636363636364,0.5,0.875,,1,7,7,OK,20.707842,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS80,0,0.5882352941176471,0.4166666666666667,1.0,,0,7,5,OK,21.742467,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS81,0,0.8,0.6666666666666666,1.0,,0,3,6,OK,21.629192,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS82,0,0.88,0.7857142857142857,1.0,,0,3,11,OK,22.000003,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS83,0,0.7499999999999999,1.0,0.6,,2,0,3,OK,21.208589,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS84,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,,1,1,2,OK,21.797291,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS85,0,0.5454545454545454,0.375,1.0,,0,10,6,OK,17.901739,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS86,0,0.9655172413793104,0.9333333333333333,1.0,,0,1,14,OK,21.757722,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS87,0,1.0,1.0,1.0,,0,0,1,OK,21.631801,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS88,0,0.5555555555555556,0.38461538461538464,1.0,,0,8,5,OK,21.86304,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS89,0,1.0,1.0,1.0,,0,0,9,OK,21.80168,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS8,0,0.7826086956521738,0.6923076923076923,0.9,,1,4,9,OK,22.084751,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS90,0,0.8,0.6666666666666666,1.0,,0,4,8,OK,21.870394,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS91,0,0.26666666666666666,0.16666666666666666,0.6666666666666666,,1,10,2,OK,21.970818,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS92,0,1.0,1.0,1.0,,0,0,15,OK,21.978082,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS93,0,0.6666666666666666,0.5,1.0,,0,3,3,OK,21.437312,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS94,0,0.761904761904762,0.6153846153846154,1.0,,0,5,8,OK,21.859121,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS95,0,0.888888888888889,0.8,1.0,,0,1,4,OK,21.858326,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS96,0,1.0,1.0,1.0,,0,0,2,OK,21.974635,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS97,0,0.5833333333333334,0.4375,0.875,,1,9,7,OK,21.784825,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS98,0,0.888888888888889,0.8,1.0,,0,3,12,OK,21.954986,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS99,0,0.608695652173913,0.4666666666666667,0.875,,1,8,7,OK,21.720796,False,61368e85-0
YAHOOA4,U_aer,A4Benchmark-TS9,0,0.0,0.0,0.0,,2,1,0,OK,21.744869,False,61368e85-0
artificialWithAnomaly,U_aer,art_daily_flatmiddle,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,32.071479,False,61368e85-0
artificialWithAnomaly,U_aer,art_daily_jumpsdown,0,0.0,0.0,0.0,,0,1,0,OK,24.939848,False,61368e85-0
artificialWithAnomaly,U_aer,art_daily_jumpsup,0,1.0,1.0,1.0,,0,0,1,OK,24.654817,False,61368e85-0
artificialWithAnomaly,U_aer,art_daily_nojump,0,0.0,0.0,0.0,,1,1,0,OK,24.997725,False,61368e85-0
artificialWithAnomaly,U_aer,art_increase_spike_density,0,1.0,1.0,1.0,,0,0,1,OK,25.167661,False,61368e85-0
artificialWithAnomaly,U_aer,art_load_balancer_spikes,0,0.4,1.0,0.25,,3,0,1,OK,25.120634,False,61368e85-0
SMAP,U_aer,B-1,0,0.0,0.0,0.0,,1,1,0,OK,25.668668,True,61368e85-0
MSL,U_aer,C-1,0,0.4,0.5,0.3333333333333333,,2,1,1,OK,22.449111,True,61368e85-0
MSL,U_aer,C-2,0,0.0,0.0,0.0,,0,2,0,OK,14.767261,True,61368e85-0
SMAP,U_aer,D-11,0,1.0,1.0,1.0,,0,0,1,OK,23.212497,True,61368e85-0
SMAP,U_aer,D-12,0,1.0,1.0,1.0,,0,0,1,OK,18.463666,True,61368e85-0
SMAP,U_aer,D-13,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,22.215064,True,61368e85-0
MSL,U_aer,D-14,0,0.6666666666666666,1.0,0.5,,2,0,2,OK,22.476286,True,61368e85-0
MSL,U_aer,D-15,0,0.0,0.0,0.0,,0,1,0,OK,25.735581,True,61368e85-0
MSL,U_aer,D-16,0,0.0,0.0,0.0,,1,1,0,OK,18.4937,True,61368e85-0
SMAP,U_aer,D-1,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,38.544308,True,61368e85-0
SMAP,U_aer,D-2,0,1.0,1.0,1.0,,0,0,1,OK,26.65852,True,61368e85-0
SMAP,U_aer,D-3,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,29.969113,True,61368e85-0
SMAP,U_aer,D-4,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,32.184114,True,61368e85-0
SMAP,U_aer,D-5,0,0.0,0.0,0.0,,0,1,0,OK,35.277677,True,61368e85-0
SMAP,U_aer,D-6,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,36.150735,True,61368e85-0
SMAP,U_aer,D-7,0,1.0,1.0,1.0,,0,0,1,OK,26.211647,True,61368e85-0
SMAP,U_aer,D-8,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,25.737915,True,61368e85-0
SMAP,U_aer,D-9,0,1.0,1.0,1.0,,0,0,1,OK,26.482097,True,61368e85-0
SMAP,U_aer,E-10,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,39.44269,True,61368e85-0
SMAP,U_aer,E-11,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,39.445319,True,61368e85-0
SMAP,U_aer,E-12,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,39.362286,True,61368e85-0
SMAP,U_aer,E-13,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,38.946005,True,61368e85-0
SMAP,U_aer,E-1,0,1.0,1.0,1.0,,0,0,2,OK,39.428279,True,61368e85-0
SMAP,U_aer,E-2,0,1.0,1.0,1.0,,0,0,1,OK,39.60024,True,61368e85-0
SMAP,U_aer,E-3,0,1.0,1.0,1.0,,0,0,1,OK,38.602957,True,61368e85-0
SMAP,U_aer,E-4,0,0.0,0.0,0.0,,1,1,0,OK,38.822553,True,61368e85-0
SMAP,U_aer,E-5,0,0.0,0.0,0.0,,0,1,0,OK,38.915142,True,61368e85-0
SMAP,U_aer,E-6,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,39.258534,True,61368e85-0
SMAP,U_aer,E-7,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,38.409384,True,61368e85-0
SMAP,U_aer,E-8,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,38.859117,True,61368e85-0
SMAP,U_aer,E-9,0,1.0,1.0,1.0,,0,0,1,OK,38.66219,True,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_24ae8d,0,0.25,1.0,0.14285714285714285,,12,0,2,OK,17.669204,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_53ea38,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,18.947545,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_5f5533,0,1.0,1.0,1.0,,0,0,2,OK,18.135412,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_77c1ca,0,1.0,1.0,1.0,,0,0,1,OK,24.881928,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_825cc2,0,1.0,1.0,1.0,,0,0,1,OK,20.67921,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_ac20cd,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,16.300887,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_c6585a,0,0.0,0.0,0.0,,14,0,0,OK,19.911218,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_cpu_utilization_fe7f93,0,0.8,0.6666666666666666,1.0,,0,1,2,OK,25.436638,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_disk_write_bytes_1ef3de,0,1.0,1.0,1.0,,0,0,1,OK,24.257552,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_disk_write_bytes_c0d644,0,0.4,0.3333333333333333,0.5,,1,2,1,OK,19.079368,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_network_in_257a54,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,17.358456,False,61368e85-0
realAWSCloudwatch,U_aer,ec2_network_in_5abac7,0,0.6666666666666666,0.5,1.0,,0,1,1,OK,24.449212,False,61368e85-0
realAWSCloudwatch,U_aer,elb_request_count_8c0756,0,1.0,1.0,1.0,,0,0,2,OK,25.189533,False,61368e85-0
realAdExchange,U_aer,exchange-2_cpc_results,0,0.4,1.0,0.25,,3,0,1,OK,21.840359,False,61368e85-0
realAdExchange,U_aer,exchange-2_cpm_results,0,0.8,1.0,0.6666666666666666,,1,0,2,OK,22.081733,False,61368e85-0
realAdExchange,U_aer,exchange-3_cpc_results,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,18.813521,False,61368e85-0
realAdExchange,U_aer,exchange-3_cpm_results,0,0.33333333333333337,1.0,0.2,,4,0,1,OK,18.575199,False,61368e85-0
realAdExchange,U_aer,exchange-4_cpm_results,0,0.888888888888889,1.0,0.8,,1,0,4,OK,16.896828,False,61368e85-0
SMAP,U_aer,F-1,0,0.0,0.0,0.0,,1,1,0,OK,39.480477,True,61368e85-0
SMAP,U_aer,F-2,0,1.0,1.0,1.0,,0,0,1,OK,32.067974,True,61368e85-0
SMAP,U_aer,F-3,0,0.0,0.0,0.0,,0,1,0,OK,38.009506,True,61368e85-0
MSL,U_aer,F-4,0,0.0,0.0,0.0,,5,1,0,OK,28.652227,True,61368e85-0
MSL,U_aer,F-5,0,0.4,1.0,0.25,,3,0,1,OK,22.201071,True,61368e85-0
MSL,U_aer,F-7,0,0.0,0.0,0.0,,0,3,0,OK,32.270194,True,61368e85-0
MSL,U_aer,F-8,0,0.5,1.0,0.3333333333333333,,2,0,1,OK,36.680377,True,61368e85-0
SMAP,U_aer,G-1,0,0.0,0.0,0.0,,0,1,0,OK,33.963837,True,61368e85-0
SMAP,U_aer,G-2,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,25.037352,True,61368e85-0
SMAP,U_aer,G-3,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,27.674975,True,61368e85-0
SMAP,U_aer,G-4,0,1.0,1.0,1.0,,0,0,1,OK,34.93137,True,61368e85-0
SMAP,U_aer,G-6,0,0.6666666666666666,1.0,0.5,,1,0,1,OK,35.664164,True,61368e85-0
SMAP,U_aer,G-7,0,0.8571428571428571,1.0,0.75,,1,0,3,OK,28.462918,True,61368e85-0
realAWSCloudwatch,U_aer,grok_asg_anomaly,0,0.5,0.3333333333333333,1.0,,0,2,1,OK,17.050668,False,61368e85-0
realAWSCloudwatch,U_aer,iio_us-east-1_i-a2eb1cd9_NetworkIn,0,1.0,1.0,1.0,,0,0,2,OK,13.024573,False,61368e85-0
